Mass[Solar Masses]:,1.395,Luminosity[Solar Luminosities]:,53.18632708,Temperature[K]:,4688.133821,nu_max[microHz]:,39.01884419
Peak frequency[microHz](ls),Peak frequency[microsHz](smooth),Peak amplitude[m/s](ls),Peak amplitude[m/s](smooth),Peak STD,Good Star?,,
30.59440559,56.81818182,5.53448425,1.613967966,0,TRUE,,
36.42191142,53.9044289,14.88525929,1.989996302,0,TRUE,,
58.27505828,37.87878788,5.498487648,1.556202688,0,TRUE,,
33.50815851,49.53379953,12.30491505,1.773647503,0,TRUE,,
39.33566434,43.70629371,11.5636741,1.872442545,0,TRUE,,
42.24941725,69.93006993,12.17372632,1.668326357,0,TRUE,,
40.79254079,52.44755245,13.19402824,1.603049009,0,TRUE,,
40.79254079,37.87878788,15.43141006,1.868734526,0,TRUE,,
36.42191142,61.18881119,10.44519579,1.685351154,0,TRUE,,
39.33566434,37.87878788,9.6775239,1.626709683,0,TRUE,,
33.50815851,45.16317016,8.729757279,2.019296034,0,TRUE,,
37.87878788,67.01631702,11.85379196,1.769317732,0,TRUE,,
40.79254079,46.62004662,12.95119836,1.874214452,0,TRUE,,
33.50815851,37.87878788,13.16212125,2.101167073,0,TRUE,,
39.33566434,37.87878788,8.612870607,1.736154358,0,TRUE,,
32.05128205,37.87878788,8.641613703,1.645116844,0,TRUE,,
43.70629371,39.33566434,10.01502536,1.730493261,0,TRUE,,
0.644213929,,,,,,,
6.557819811,0.711295427,Error and error of the mean,,,,,
39.03073671,Mean,,,,,,
