006.022675  -72.078361       5.2      20.2   8.628   7.940   8.765  12.90  99.99  99.99
005.990311  -72.091566     -15.0       5.2   8.016   7.447   7.072  11.23  99.99  99.99
006.052711  -72.111086       9.4      -5.6   7.607   6.881   6.382  12.85  99.99  99.99
005.944862  -72.143509     -52.2    -196.8  12.567  11.960  11.912  99.99  99.99  99.99
006.047379  -72.147535      -0.8       5.7  14.925  14.302  14.320  99.99  99.99  99.99
005.875888  -72.032136     -57.1      64.2  12.215  11.741  11.664  99.99  99.99  99.99
005.802546  -72.091804    -159.2     -85.0  99.999  99.999  99.999  99.99  10.63  99.99
006.243073  -72.100202      17.2    -124.1  15.898  15.712  15.395  99.99  99.99  10.14
005.817628  -72.048927     -13.0      32.1  12.521  12.083  11.984  99.99  99.99  13.17
006.116572  -72.146859      11.9      55.3  12.408  11.813  11.745  99.99  99.99  13.86
005.892683  -72.020853      27.4     -33.8  14.784  14.526  14.151  99.99  99.99  10.39
005.786017  -72.081154     186.8    -973.7  99.999  99.999  99.999  99.99  99.99  16.07
005.833523  -72.125365      -0.9     -45.5  16.064  15.412  15.876  99.99  99.99  10.79
006.000811  -72.154638     -33.3      18.7  14.312  13.859  13.822  99.99  99.99  99.99
006.256767  -72.098953       0.6    -141.4  14.226  13.730  13.666  99.99  99.99  10.10
006.138894  -72.147273     -23.1      23.0  15.163  14.817  14.653  99.99  99.99  10.80
005.925538  -72.012624      14.7    -119.8  15.482  15.100  15.374  99.99  99.99  10.51
006.067039  -72.155457      47.8    -148.6  14.511  14.064  14.002  99.99  99.99  10.22
005.786476  -72.060328     -33.6      -0.9  13.767  13.303  13.202  99.99  99.99  13.42
005.843210  -72.028847       2.6     -57.2  14.861  14.388  14.470  99.99  99.99  14.89
005.775659  -72.091167      18.0      -1.8  15.405  14.988  14.758  99.99  13.54  15.58
006.260987  -72.103873      17.4     -29.5  14.304  13.767  13.824  99.99  99.99  10.85
006.168559  -72.143724       4.4     -54.1  12.777  12.177  12.158  99.99  99.99  13.74
006.122929  -72.151996       0.8    -130.6   8.588   7.726   7.487  99.99  99.99  99.99
005.825918  -72.129591     143.8      90.6  11.585  10.944  10.895  99.99  99.99  11.99
005.770611  -72.083946      15.4     -94.3  12.452  12.036  11.921  99.99  99.99  12.35
005.771443  -72.074450     -60.8      -1.1  10.326   9.680   9.529  99.99  99.99  11.44
006.056085  -72.158523     107.5      54.6  15.504  15.076  14.480  99.99  99.99  15.45
006.016138  -72.159211      75.8     -29.0  15.458  14.927  14.761  99.99  10.67  12.68
006.187964  -72.140341     -29.1     -65.1   9.997   9.269   9.102  99.99  99.99  10.83
005.953022  -72.006275     -88.9     -96.6  12.576  12.128  12.073  99.99  99.99  12.08
005.781461  -72.055656      65.7      25.0  12.477  12.069  11.966  99.99  99.99  12.20
005.786642  -72.111850     -89.0     -35.7  13.771  13.614  13.654  99.99  99.99  99.99
006.151922  -72.149751     -58.8      -6.4  13.235  12.725  12.639  99.99  99.99  13.74
005.795687  -72.119115      -9.7    -704.8  99.999  99.999  99.999  99.99  12.20  15.60
005.886605  -72.013958     100.3     121.7  14.508  14.524  14.213  99.99  99.99  14.93
006.135644  -72.153697     -76.4      96.8  15.938  15.878  14.642  99.99  99.99  10.59
006.147335  -72.151923     -27.1     -13.2  99.999  99.999  99.999  99.99  10.42  99.99
005.761581  -72.078793      58.7      39.4  14.720  14.406  14.167  99.99  99.99  15.32
005.761344  -72.080958     -87.7       1.9  13.792  13.562  13.263  99.99  99.99  13.34
005.762532  -72.090545      -3.4      33.8  14.634  14.183  14.293  99.99  99.99  14.60
005.801776  -72.038382     -54.1    -110.3  13.541  13.027  12.981  99.99  99.99  10.42
005.762749  -72.091496    -203.1     -15.9  99.999  99.999  99.999  99.99  13.22  99.99
005.760821  -72.083477    -143.4     -37.5  99.999  99.999  99.999  99.99  99.99  99.99
006.199892  -72.140643     108.1       7.4  15.086  15.661  15.050  99.99  99.99  15.45
005.977156  -72.002118     -86.5     -93.5  14.357  13.886  14.064  99.99  99.99  14.05
006.053893  -72.001383      92.7      24.8  14.415  14.045  14.019  99.99  99.99  14.88
